,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
10,5805,Avalanche,AVAX,avalanche,678,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,377291027.6254148,435980667.6254148,False,,11,,,,2024-03-07T19:03:00.000Z,44.232710693166,879695725.2154427,-20.1078,1.00182693,8.17237368,5.48165078,29.37295387,26.90774859,54.70041872,16688604872.082273,0.6519,31847551699.08,,2024-03-07T19:03:00.000Z,,,,,,2024-03-07 19:05:51.393125
11,6636,Polkadot,DOT,polkadot-new,701,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1287064317.8669066,1419324819.5752583,True,,12,,,,2024-03-07T19:03:00.000Z,10.470512457903611,627615179.1086147,-39.0945,0.79249111,1.00189579,23.56160147,55.03882766,45.25818198,58.23285803,13476222974.34866,0.5264,14861058205.17,,2024-03-07T19:03:00.000Z,,,,,,2024-03-07 19:05:51.393125
12,1958,TRON,TRX,tron,941,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87916201488.3699,87916254349.13568,True,,13,71659659264.0,9843142674.627937,,2024-03-07T19:03:00.000Z,0.1373596075633712,378201718.8771951,-45.3361,0.0100006,-0.06797219,-2.4899711,12.71597755,32.26618882,28.78213818,12076134934.904762,0.4717,12076142195.84,,2024-03-07T19:03:00.000Z,,,,,,2024-03-07 19:05:51.393125
13,1975,Chainlink,LINK,chainlink,1672,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,14,,,,2024-03-07T19:03:00.000Z,20.195221028742985,555260793.4343026,-44.845,0.24163694,1.56126164,3.36921792,8.46199058,49.17745519,21.53301844,11856613669.262503,0.4632,20195221028.74,,2024-03-07T19:03:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-03-07 19:05:51.393125
14,3890,Polygon,MATIC,polygon,1300,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9899185546.577503,10000000000.0,False,,15,,,,2024-03-07T19:03:00.000Z,1.163802771168109,808314036.471327,-32.2775,-0.39030189,7.118599,14.5410508,45.84733855,39.62709697,30.57927507,11520699571.414188,0.45,11638027711.68,,2024-03-07T19:03:00.000Z,,,,,,2024-03-07 19:05:51.393125
0,1,Bitcoin,BTC,bitcoin,10863,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19647581.0,19647581.0,False,,1,,,,2024-03-07T19:06:00.000Z,67870.8906584948,48049733141.970184,-45.5601,0.50781808,1.22947987,11.78895638,57.24690098,53.90519468,54.89861855,1333498821754.92,52.0905,1425288703828.39,,2024-03-07T19:06:00.000Z,,,,,,2024-03-07 19:06:47.983148
1,1027,Ethereum,ETH,ethereum,8511,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120114025.48534974,120114025.48534974,True,,2,,,,2024-03-07T19:06:00.000Z,3887.9884209383717,22246719307.755222,-50.866,0.81032392,0.96053546,15.56642736,64.65393522,73.15922298,65.56996568,467001940279.3363,18.2425,467001940279.34,,2024-03-07T19:06:00.000Z,,,,,,2024-03-07 19:06:47.983148
2,825,Tether USDt,USDT,tether,77440,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,100729057191.32367,103797122782.5545,True,,3,,,,2024-03-07T19:05:00.000Z,1.001549758767922,96065048417.10786,-41.4211,0.03126601,0.00852977,0.18463228,0.1811564,0.08400581,0.14240296,100885162930.89044,3.9409,103957983283.67,,2024-03-07T19:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-03-07 19:06:47.983148
3,1839,BNB,BNB,bnb,2086,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149540810.1047821,149540810.1047821,False,,4,,,,2024-03-07T19:05:00.000Z,463.8028424247375,2908826500.1420445,-22.4959,1.34125843,9.22844617,15.08017168,53.05086948,51.63459644,95.5945639,69357452785.09584,2.7061,69357452785.1,,2024-03-07T19:05:00.000Z,,,,,,2024-03-07 19:06:47.983148
4,5426,Solana,SOL,solana,635,2020-04-10T00:00:00.000Z,"['pos', 'platform', 'solana-ecosystem', 'cms-holdings-portfolio', 'kenetic-capital-portfolio', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'okex-blockdream-ventures-portfolio', 'layer-1', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'cmc-crypto-awards-2024']",,443011942.177478,571203744.9952416,True,,5,,,,2024-03-07T19:06:00.000Z,149.0128693038312,6962859469.854536,-4.0255,2.06600125,14.61633252,17.144631,54.77303714,57.64832253,104.64980955,66014480639.72895,2.5752,85116708998.83,,2024-03-07T19:06:00.000Z,,,,,,2024-03-07 19:06:47.983148
5,52,XRP,XRP,xrp,1243,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,54664031281.0,99987852435.0,False,,6,,,,2024-03-07T19:06:00.000Z,0.6315212764107255,2454129845.7726507,-33.8316,1.02106577,3.72322451,5.02327943,24.51900998,11.22851197,-4.91544223,34521498808.33295,1.3485,63152127641.07,,2024-03-07T19:06:00.000Z,,,,,,2024-03-07 19:06:47.983148
6,3408,USDC,USDC,usd-coin,17083,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'hedera-hashgraph-ecosystem', 'fantom-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,29230722832.798378,29230722832.798378,False,,7,,,,2024-03-07T19:06:00.000Z,1.0000350841750578,9983751421.595245,-37.927,0.0049286,0.03626415,0.00696836,-0.01684958,0.00527927,-0.0053369,29231748368.59531,1.1405,29231748368.6,,2024-03-07T19:06:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-03-07 19:06:47.983148
7,2010,Cardano,ADA,cardano,1090,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35489222707.303,36685854736.851,False,,8,,,,2024-03-07T19:05:00.000Z,0.7543153355432802,971201807.8823959,-47.557,1.07375319,4.37996604,13.08636735,51.54298868,45.64559951,40.59262118,26770064934.629463,1.0457,33944190099.45,,2024-03-07T19:05:00.000Z,,,,,,2024-03-07 19:06:47.983148
8,74,Dogecoin,DOGE,dogecoin,914,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,143371606383.70523,143371606383.70523,True,,9,,,,2024-03-07T19:06:00.000Z,0.15831977701918964,2985094038.6164517,-52.3858,1.82575174,0.91500427,27.30828319,100.51188206,97.6488019,60.40127965,22698560753.55124,0.8867,22698560753.55,,2024-03-07T19:06:00.000Z,,,,,,2024-03-07 19:06:47.983148
9,5994,Shiba Inu,SHIB,shiba-inu,757,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589289410812691.0,589534086491242.2,False,,10,,,,2024-03-07T19:05:00.000Z,3.1655819686616984e-05,3792534940.76012,-56.8757,-0.70429021,-5.42302789,137.17216105,256.37028926,238.13698994,213.83301941,18654439331.919308,0.7287,18662184741.08,,2024-03-07T19:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-03-07 19:06:47.983148
10,5805,Avalanche,AVAX,avalanche,678,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'moonriver-ecosystem', 'injective-ecosystem', 'real-world-assets', 'layer-1']",720000000.0,377291027.6254148,435980667.6254148,False,,11,,,,2024-03-07T19:05:00.000Z,44.26758254928739,880075775.3929632,-19.4825,0.99097249,8.49314234,5.93224271,29.63330854,27.15377936,52.76531134,16701761710.513517,0.6524,31872659435.49,,2024-03-07T19:05:00.000Z,,,,,,2024-03-07 19:06:47.983148
11,6636,Polkadot,DOT,polkadot-new,701,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'binance-chain', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'injective-ecosystem', 'bnb-chain', 'layer-1']",,1287064317.8669066,1419324819.5752583,True,,12,,,,2024-03-07T19:05:00.000Z,10.466650069163332,627249420.5269163,-38.234,0.85044249,1.48345747,23.89700767,54.9898684,45.33949853,58.1022657,13471251831.619316,0.5262,14855576220.97,,2024-03-07T19:05:00.000Z,,,,,,2024-03-07 19:06:47.983148
12,1958,TRON,TRX,tron,941,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,87916201488.3699,87916254349.13568,True,,13,71659659264.0,9846073690.329092,,2024-03-07T19:05:00.000Z,0.13740050945616916,377762623.37055194,-45.4189,0.03321633,-0.01058587,-2.37640046,12.82034756,32.30652078,28.85405845,12079730873.953241,0.4719,12079738137.05,,2024-03-07T19:05:00.000Z,,,,,,2024-03-07 19:06:47.983148
13,1975,Chainlink,LINK,chainlink,1672,2017-09-20T00:00:00.000Z,"['platform', 'defi', 'oracles', 'smart-contracts', 'substrate', 'polkadot', 'polkadot-ecosystem', 'avalanche-ecosystem', 'solana-ecosystem', 'framework-ventures-portfolio', 'polygon-ecosystem', 'fantom-ecosystem', 'cardano-ecosystem', 'web3', 'near-protocol-ecosystem', 'arbitrum-ecosytem', 'cardano', 'injective-ecosystem', 'optimism-ecosystem', 'real-world-assets', 'celsius-bankruptcy-estate']",1000000000.0,587099970.4527867,1000000000.0,False,,14,,,,2024-03-07T19:05:00.000Z,20.171666870663614,554768550.2916262,-44.8459,0.22861146,1.65202962,3.48993843,8.39201859,49.05424785,21.232754,11842785023.750065,0.4626,20171666870.66,,2024-03-07T19:05:00.000Z,1027.0,Ethereum,ETH,ethereum,0x514910771af9ca656af840dff83e8264ecf986ca,2024-03-07 19:06:47.983148
14,3890,Polygon,MATIC,polygon,1300,2019-04-28T00:00:00.000Z,"['pos', 'platform', 'enterprise-solutions', 'zero-knowledge-proofs', 'scaling', 'state-channel', 'coinbase-ventures-portfolio', 'layer-2', 'binance-launchpad', 'binance-labs-portfolio', 'polygon-ecosystem', 'moonriver-ecosystem', 'injective-ecosystem', 'ftx-bankruptcy-estate', 'sec-security-token', 'alleged-sec-securities', 'modular-blockchain', 'standard-crypto-portfolio']",10000000000.0,9899185546.577503,10000000000.0,False,,15,,,,2024-03-07T19:05:00.000Z,1.1650028198016933,809606274.658497,-31.9762,-0.1455144,7.43940681,14.91952016,46.08495459,39.94416068,30.58321793,11532579075.502958,0.4505,11650028198.02,,2024-03-07T19:05:00.000Z,,,,,,2024-03-07 19:06:47.983148
0,1,Bitcoin,BTC,bitcoin,10863,2010-07-13T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'store-of-value', 'state-channel', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'galaxy-digital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'bitcoin-ecosystem', 'ftx-bankruptcy-estate']",21000000.0,19647581.0,19647581.0,False,,1,,,,2024-03-07T19:07:00.000Z,67832.56208841292,48050339386.24921,-45.5717,0.38783081,1.07032623,11.62013392,57.12522233,53.79649839,54.81332071,1332745758069.6218,51.989,1424483803856.67,,2024-03-07T19:07:00.000Z,,,,,,2024-03-07 19:07:48.203288
1,1027,Ethereum,ETH,ethereum,8511,2015-08-07T00:00:00.000Z,"['pos', 'smart-contracts', 'ethereum-ecosystem', 'coinbase-ventures-portfolio', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'binance-labs-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'dcg-portfolio', 'dragonfly-capital-portfolio', 'electric-capital-portfolio', 'fabric-ventures-portfolio', 'framework-ventures-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', 'huobi-capital-portfolio', 'alameda-research-portfolio', 'a16z-portfolio', '1confirmation-portfolio', 'winklevoss-capital-portfolio', 'usv-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'multicoin-capital-portfolio', 'paradigm-portfolio', 'injective-ecosystem', 'layer-1', 'ftx-bankruptcy-estate']",,120114025.48534974,120114025.48534974,True,,2,,,,2024-03-07T19:07:00.000Z,3885.738223819641,22246377544.92152,-50.8714,0.69516588,0.74064473,15.40517568,64.5248111,73.01072633,65.48370255,466731660045.27,18.2067,466731660045.27,,2024-03-07T19:07:00.000Z,,,,,,2024-03-07 19:07:48.203288
2,825,Tether USDt,USDT,tether,77440,2015-02-25T00:00:00.000Z,"['payments', 'stablecoin', 'asset-backed-stablecoin', 'avalanche-ecosystem', 'solana-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'injective-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem']",,100729057191.32367,103797122782.5545,True,,3,,,,2024-03-07T19:06:00.000Z,1.0013756393601443,96086346764.46507,-41.4172,0.02017813,0.02594551,0.15125393,0.17592964,0.08046132,0.12006881,100867624047.10628,3.9402,103939910190.12,,2024-03-07T19:06:00.000Z,1027.0,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,2024-03-07 19:07:48.203288
3,1839,BNB,BNB,bnb,2086,2017-07-25T00:00:00.000Z,"['marketplace', 'centralized-exchange', 'payments', 'smart-contracts', 'alameda-research-portfolio', 'multicoin-capital-portfolio', 'bnb-chain', 'layer-1', 'sec-security-token', 'alleged-sec-securities', 'celsius-bankruptcy-estate']",,149540810.1047821,149540810.1047821,False,,4,,,,2024-03-07T19:06:00.000Z,463.7813587281892,2910377642.598332,-22.4479,1.34665316,9.23789175,15.04309752,53.05738645,51.59971889,95.55515647,69354240095.70998,2.706,69354240095.71,,2024-03-07T19:06:00.000Z,,,,,,2024-03-07 19:07:48.203288
